"","lats","mean","lowe","highe","sd","disp"
"1",40,0.00232765190835921,0.000302777228410396,0.00435252658830803,0.00146104992595642,0.000470037916763016
"2",39,0.00316662664150614,0.0015210426639219,0.00481221061909038,0.00145422828163144,0.000820382254294194
"3",38,0,0,0,0,0
"4",37,0.00313806768034501,0.00146849699792605,0.00480763836276397,0.00147542570760845,0.000820382254294194
"5",36,0.00447837705835722,0.00413623253039831,0.00482052158631613,0.000719757117543531,0.00214497794042592
"6",35,0.00396395266484451,0.0030284232567809,0.00489948207290813,0.00116918969287163,0.00107533931799354
"7",34,0.00449709846606528,0.00425472173320332,0.00473947519892724,0.00060582676591783,0.00291539770620668
"8",33,0.00448367535851348,0.00422092189985826,0.0047464288171687,0.000614341703672463,0.00257942305005278
"9",32,0.00440951725333135,0.00406243733564529,0.00475659717101741,0.000708339378526915,0.00193539331392425
"10",31,0.00458910087330892,0.00442220024318783,0.00475600150343,0.00048917793032929,0.00346837171653408
"11",30,0.00462673243026097,0.00450533741495769,0.00474812744556425,0.000415488511761809,0.00442710506989715
"12",29,0.00465609726736605,0.00459453778785937,0.00471765674687274,0.000275608248232333,0.00440039757648852
"13",28,0.00466963949011673,0.00460829650264066,0.0047309824775928,0.000271048784147802,0.00443453880515711
"14",27,0.00465587258808013,0.0046062085754812,0.00470553660067906,0.000236348766845475,0.0043851761288932
"15",26,0.00467518712234876,0.00463944624142082,0.00471092800327669,0.00018685804947917,0.00477525632015526
"16",25,0.0046552140892704,0.00460327440037255,0.00470715377816826,0.000241429480111807,0.0044306662021274
"17",24,0.00468059330249055,0.00464499690874738,0.00471618969623371,0.000188742537155933,0.00472098371903068
"18",23,0.00468087330972117,0.00464886569700091,0.00471288092244143,0.000172828039671454,0.00481367997655834
"19",22,0.00467499351384956,0.00464549847081099,0.00470448855688813,0.000163471462044051,0.00491726128151375
"20",21,0.00468505312118122,0.00466146586824224,0.0047086403741202,0.000137214797612383,0.00475330771407768
"21",20,0.00468178963903001,0.00465793942366182,0.0047056398543982,0.000138209873417981,0.00477000278824261
"22",19,0.00468602702572779,0.00466395444384578,0.00470809960760979,0.000128403458578143,0.00475330771407768
"23",18,0.00468485254634406,0.00466658649256339,0.00470311860012474,0.00011027083389417,0.00467267077725369
"24",17,0.00467476846455487,0.00464877544011416,0.00470076148899558,0.000146483476809162,0.00487015036773478
"25",16,0.00468246220633827,0.00466151548692469,0.00470340892575185,0.000124634242484878,0.00472216878568459
"26",15,0.00468020218284225,0.00465284922655519,0.0047075551391293,0.000154777823803222,0.00486823968123159
"27",14,0.00467248398468921,0.00464356871961682,0.0047013992497616,0.000160935764575852,0.00489498508670419
"28",13,0.00467813423226514,0.00465224287988347,0.0047040255846468,0.000148283188859451,0.00480341485996422
"29",12,0.00468465371316756,0.00466362303887448,0.00470568438746064,0.000123745930846784,0.00472903551826207
"30",11,0.00467378069894334,0.0046454850912267,0.00470207630665998,0.000158147218489403,0.00488113729728641
"31",10,0.00468602918404698,0.00466324703690189,0.00470881133119207,0.000133546812625066,0.0047480099044048
"32",9,0.00468336012481102,0.00465481498845646,0.00471190526116559,0.000158206759285838,0.00491726128151375
"33",8,0.00467601312696512,0.0046398861902803,0.00471214006364994,0.000190666737657294,0.00473685621989195
"34",7,0.00468244266029638,0.00465651689656904,0.00470836842402372,0.000146104429608672,0.00487015036773478
"35",6,0.00467694978841632,0.00464445980558671,0.00470943977124593,0.000175432641305574,0.00481367997655834
"36",5,0.00468207391014178,0.00465509923675307,0.00470904858353048,0.000152015551433148,0.00487015036773478
"37",4,0.00467289332643348,0.0046418930755302,0.00470389357733677,0.000168134307534532,0.00481089367229567
"38",3,0.00467437246852012,0.00463570479696237,0.00471304014007786,0.000201194729467874,0.00465251377605012
"39",2,0.00467270910882112,0.00463489426153288,0.00471052395610936,0.0001967573340604,0.00465251377605012
"40",1,0.00466849204590277,0.0046327413005049,0.00470424279130064,0.000188681317026596,0.00473685621989195
"41",0,0.00466977952985041,0.00463174089870737,0.00470781816099346,0.000196009389003078,0.00466833436068391
