"","lats","mean","lowe","highe","sd","disp"
"1",67,0.0040090149814709,0.000910992878550711,0.0071070370843911,0.00223538029731169,0.00315453460492002
"2",66,0,0,0,0,0
"3",65,0,0,0,0,0
"4",64,0,0,0,0,0
"5",63,0.0039534324776109,0.000637727786762444,0.00726913716845935,0.00239244934070683,0.00315453460492002
"6",62,0.00526287383672276,0.00311215757400721,0.00741359009943832,0.00190062157726953,0.00306049207473656
"7",61,0,0,0,0,0
"8",60,0.00631235913816104,0.00494717938125272,0.00767753889506936,0.00155749532237962,0.00356149551249152
"9",59,0.00594535360070853,0.00429326372314751,0.00759744347826955,0.00168583697516127,0.00333956825487992
"10",58,0.00694734685119587,0.00616520913901437,0.00772948456337737,0.00112870416899024,0.00386714567560642
"11",57,0.00678391815949412,0.00584569066968002,0.00772214564930823,0.00126651133940864,0.00377701359653551
"12",56,0.00598464909399062,0.00428835473346771,0.00768094345451353,0.00173094441928838,0.00333956825487992
"13",55,0.00697498323047611,0.00619865824211555,0.00775130821883666,0.00112031581805446,0.00386714567560642
"14",54,0.00700020851832893,0.00633675691073963,0.00766366012591822,0.00101550581463106,0.00386941714167378
"15",53,0.00704675248854708,0.00637176451235404,0.00772174046474013,0.00103316384614808,0.00386941714167378
"16",52,0.00674477683651711,0.00585340523460289,0.00763614843843134,0.00120326067367189,0.00377701359653551
"17",51,0.00716633645092577,0.00664895712885156,0.00768371577299997,0.000875502355728884,0.00508344195116155
"18",50,0.00709176663588944,0.0064836538130034,0.00769987945877549,0.000981151495559622,0.00509276400050521
"19",49,0.00712182565743343,0.00650555912802544,0.00773809218684141,0.00099430698422435,0.00509276400050521
"20",48,0.00698614602568295,0.00620465055137316,0.00776764149999273,0.0011277773545022,0.00386714567560642
"21",47,0.00706437534628166,0.00640807217376027,0.00772067851880305,0.00100456413132827,0.00386941714167378
"22",46,0.00725676175779491,0.00681874991774988,0.00769477359783994,0.000805766922759705,0.00520681440318537
"23",45,0.00728363848898964,0.00684141711874385,0.00772585985923544,0.000813510777802033,0.00520681440318537
"24",44,0.00736671538340595,0.00697940006351619,0.00775403070329571,0.000739401968152148,0.00504145187386117
"25",43,0.007345483733812,0.00699728696141547,0.00769368050620853,0.000688053612888909,0.00488339804038589
"26",42,0.00743273724803092,0.0071260492417404,0.00773942525432143,0.000645168510248223,0.00538362293982546
"27",41,0.00744133688688464,0.00716712721333167,0.00771554656043761,0.000593568620134892,0.00590937632095291
"28",40,0.00751072507571317,0.00730371668606353,0.00771773346536282,0.000484004615667999,0.00658544170043512
"29",39,0.00750517101373601,0.00726728215428013,0.00774305987319189,0.00054280146475045,0.00646626873024034
