"","lats","mean","lowe","highe","sd","disp"
"1",36,0.00349553498502274,0.0025761469079694,0.00441492306207608,0.00104890408916189,0.00400053610745798
"2",35,0,0,0,0,0
"3",34,0.00376251312114145,0.00309097864748697,0.00443404759479593,0.000906502990927842,0.00361452749694786
"4",33,0.00353507070157794,0.00260347347287515,0.00446666793028073,0.00106283316808942,0.00400053610745798
"5",32,0.00351481317511511,0.00259599965407873,0.00443362669615149,0.00104824859430538,0.00400053610745798
"6",31,0.00389283435473897,0.0034471501718734,0.00433851853760454,0.000719083180141664,0.00444300809277293
"7",30,0.00408431602130025,0.00384432622735398,0.00432430581524653,0.000504857883775313,0.00389690716410147
"8",29,0.0041462888430369,0.00399075168238503,0.00430182600368876,0.000380583533159071,0.00386789737494897
"9",28,0.00415420046331891,0.00401075248226138,0.00429764844437644,0.000365945451521121,0.0040053406582581
"10",27,0.00417815820947934,0.00406837703089774,0.00428793938806093,0.000301632960629158,0.00399959102820549
"11",26,0.00422740862303659,0.00414845585163304,0.00430636139444015,0.000231406875342125,0.0040932166003926
"12",25,0.00419066438905827,0.00406583473800871,0.00431549404010783,0.000330941741196843,0.00391168022641334
"13",24,0.00422912388066639,0.0041771283976243,0.00428111936370848,0.000163534476288354,0.00413142473108386
"14",23,0.00419336803987942,0.00410559130605347,0.00428114477370537,0.000253341486714304,0.00400710685513901
"15",22,0.00422867844651146,0.00417728426665638,0.00428007262636653,0.000161643277360561,0.00413142473108386
"16",21,0.00423282425187612,0.00417046957250429,0.00429517893124795,0.000190885179106369,0.0041540694663618
"17",20,0.00422683718193614,0.0041576379423836,0.00429603642148868,0.000208875380033438,0.00421102589074996
"18",19,0.00420157488792294,0.00413146486340721,0.00427168491243867,0.000211624551217171,0.00421102589074996
"19",18,0.00421766602891796,0.00414872789279476,0.00428660416504117,0.00020808724885767,0.00421102589074996
"20",17,0.00419560572346902,0.00409533893852995,0.00429587250840808,0.000280200964470943,0.00400097324666595
"21",16,0.00419608140020936,0.00409002608923933,0.00430213671117939,0.000296377314173672,0.00400097324666595
"22",15,0.00419963477282253,0.00410521476861857,0.00429405477702649,0.000268223466702349,0.003944943764414
"23",14,0.00421652793274563,0.00413341906158044,0.00429963680391081,0.000243588209098388,0.0040932166003926
"24",13,0.00418540113374204,0.00408253466946519,0.00428826759801888,0.000287465909270015,0.00400097324666595
"25",12,0.00422729769677787,0.00416418616660082,0.00429040922695492,0.000193202111900618,0.0041540694663618
"26",11,0.00419491696013211,0.00410078910529538,0.00428904481496884,0.000267393543883184,0.003944943764414
"27",10,0.00421671954803382,0.00414630902034355,0.00428713007572409,0.000212531609086449,0.00421102589074996
"28",9,0.00419874849164116,0.00409098283886352,0.00430651414441881,0.000296095135080885,0.00399959102820549
"29",8,0.00418036878874793,0.00404191007093707,0.00431882750655879,0.000360212590391194,0.0039393339656889
"30",7,0.00422631998012346,0.00417359852299729,0.00427904143724962,0.000165817786004745,0.00413142473108386
"31",6,0.00418771648960867,0.00408625340704429,0.00428917957217305,0.000283544083018247,0.00400097324666595
"32",5,0.00417672408746249,0.00405868841632947,0.0042947597585955,0.000318672214505867,0.00387101854414177
"33",4,0.00419305314419125,0.00408339287186116,0.00430271341652133,0.00030130076060115,0.00399959102820549
"34",3,0.00416135206585586,0.00401411249192298,0.00430859163978873,0.000368029034130427,0.00406515005658836
"35",2,0.00418549696904062,0.00407805633329737,0.00429293760478386,0.000295202123622925,0.00399959102820549
"36",1,0.00419377468725576,0.0040689335469946,0.00431861582751691,0.000330972200784446,0.00391168022641334
"37",0,0.00414548577836166,0.00395891068806777,0.00433206086865555,0.000436229686264159,0.00383786292847252
