"","lats","mean","lowe","highe","sd","disp"
"1",41,0.00301924567993358,0.00236039954037918,0.00367809181948797,0.000823401283717723,0.0044570653287272
"2",40,0.00322094111064083,0.00278133855922625,0.00366054366205541,0.000672873412290393,0.00415880079628425
"3",39,0.00293686111388265,0.00215298220244756,0.00372074002531775,0.000894305480061531,0.00366230318076211
"4",38,0.00242334191188828,0.00130855839668856,0.00353812542708799,0.000985151616558534,0.00129343127206012
"5",37,0.00304091890989591,0.00238509536051032,0.00369674245928151,0.000819623763480864,0.0044570653287272
"6",36,0.00288234837868182,0.00209916558967164,0.003665531167692,0.000893511293497368,0.00366230318076211
"7",35,0.00318604936798036,0.00274615408088042,0.00362594465508029,0.000673321485348361,0.00415880079628425
"8",34,0.00345135653219448,0.00327437833519154,0.00362833472919742,0.00040381892948588,0.00384472019295274
"9",33,0.00345770244567,0.00330698147726055,0.00360842341407945,0.000368798803051409,0.00405049670545283
"10",32,0.00345360817845693,0.00328353036638128,0.00362368599053259,0.000397657535555208,0.00386052385758549
"11",31,0.0034788725631039,0.00334980420088676,0.00360794092532104,0.000335782750460647,0.00386823410749828
"12",30,0.00352850993987138,0.00345716944038389,0.00359985043935888,0.000221405760819192,0.00338697195074808
"13",29,0.00353565570971214,0.00348937919239105,0.00358193222703323,0.000158386744819998,0.0033209784432159
"14",28,0.00353252354559313,0.00348308027376881,0.00358196681741745,0.000165422027132009,0.00326737984458016
"15",27,0.00353679679625122,0.00349202653280757,0.00358156705969488,0.000153231416322291,0.0033209784432159
"16",26,0.00355106127906898,0.00352119040622831,0.00358093215190964,0.000107766759553758,0.00344425067118294
"17",25,0.00354084971711813,0.00350846866613172,0.00357323076810454,0.000115648735738412,0.0034484943217697
"18",24,0.00354725007929418,0.00351965456666404,0.00357484559192432,0.000100548469232904,0.00342362392645096
"19",23,0.00354757568841826,0.00351810128030348,0.00357705009653303,0.000106336412371915,0.00344425067118294
"20",22,0.00354232886698468,0.00351808975514736,0.003566567978822,8.91805781029939e-05,0.00344667879498904
"21",21,0.00354716283295586,0.00352719738573535,0.00356712828017637,7.41598574772062e-05,0.00344448587715548
"22",20,0.0035506878852443,0.00353084580656187,0.00357052996392673,7.3701616141568e-05,0.00344448587715548
"23",19,0.003548168422806,0.00351966176834051,0.00357667507727148,0.000102844995318708,0.00344425067118294
"24",18,0.0035515055258736,0.00353588082628336,0.00356713022546384,5.85814969288942e-05,0.00346956346874367
"25",17,0.00354329075006874,0.0035109611038718,0.00357562039626568,0.000115465143831034,0.0034484943217697
"26",16,0.00354676580289944,0.0035227508481461,0.00357078075765278,8.83558590097607e-05,0.00344667879498904
"27",15,0.00355252301000191,0.00352968998777442,0.0035753560322294,8.40072910159586e-05,0.00344667879498904
"28",14,0.00354603253921016,0.00351256547421146,0.00357949960420885,0.000119527428482753,0.0034484943217697
"29",13,0.00355171947933281,0.00353500424966752,0.0035684347089981,6.26702081308996e-05,0.00346956346874367
"30",12,0.00354832418950502,0.00352691202058942,0.00356973635842063,7.95335750570018e-05,0.00344448587715548
"31",11,0.00355065432903657,0.00352368363051562,0.00357762502755751,9.82718635007746e-05,0.00342362392645096
"32",10,0.00355012607022564,0.00352981123357757,0.00357044090687371,7.5457633072496e-05,0.00344448587715548
"33",9,0.00354852986647779,0.00352179258718186,0.00357526714577372,9.74213648679164e-05,0.00342362392645096
"34",8,0.00353516834547308,0.00349570133822013,0.00357463535272603,0.000138049562120527,0.00345212880199628
"35",7,0.00354279740644205,0.00350509909853166,0.00358049571435245,0.000133258335714791,0.00341973242352439
"36",6,0.00354248303969628,0.003502189411702,0.00358277666769055,0.000140940955193426,0.00345212880199628
"37",5,0.00354031810401277,0.00350665431085935,0.00357398189716618,0.000120230041946006,0.0034484943217697
"38",4,0.00355130938037291,0.00352211742882233,0.00358050133192349,0.000105317378586061,0.00344425067118294
"39",3,0.00353819101670353,0.00348495370094739,0.00359142833245967,0.000178115734790739,0.00326737984458016
"40",2,0.0035425316525348,0.00349943231958334,0.00358563098548625,0.000147512463021555,0.0033209784432159
"41",1,0.00352962616717995,0.00346854907354419,0.00359070326081572,0.000197088038633242,0.00339419510511475
"42",0,0.00352440485146894,0.00346813186142677,0.0035806778415111,0.000183841616118453,0.00338526002407464
